date 12.18,"default(payload size = 1byte,CKKS N=4096)",,,,,,,
sender\receiver(s),2^0,2^6,2^7,2^8,2^9,2^10,2^11,2^12
"2^8
(256)","0.123
(OPRF 0.016 Gen_idx 0.000 Query_idx 0.107 Get_key 0.000 Dec 0.000)","0.172
(OPRF 0.017 Gen_idx 0.010 Query_idx 0.131 Get_key 0.014 Dec 0.000)","0.235
(OPRF 0.015 Gen_idx 0.021 Query_idx 0.147 Get_key 0.052 Dec 0.000)","0.432
(OPRF 0.021 Gen_idx 0.043 Query_idx 0.162 Get_key 0.204 Dec 0.001)",\,\,\,\
"2^12
(4096)","0.305
(OPRF 0.017 Gen_idx 0.000 Query_idx 0.288 Get_key 0.001 Dec 0.000)","0.355
(OPRF 0.014 Gen_idx 0.011 Query_idx 0.318 Get_key 0.013 Dec 0.000)","0.464
(OPRF 0.018 Gen_idx 0.021 Query_idx 0.373 Get_key 0.052 Dec 0.001)","0.731
(OPRF 0.015 Gen_idx 0.047 Query_idx 0.457 Get_key 0.210 Dec 0.002)","1.386
(OPRF 0.019 Gen_idx 0.086 Query_idx 0.463 Get_key 0.811 Dec 0.007)","4.202
(OPRF 0.019 Gen_idx 0.172 Query_idx 0.695 Get_key 3.311 Dec 0.005)","14.492
(OPRF 0.026 Gen_idx 0.358 Query_idx 0.590 Get_key 13.509 Dec 0.010)","55.881
(OPRF 0.039 Gen_idx 0.746 Query_idx 1.929 Get_key 53.144 Dec 0.023)"
"2^16
(65536)","2.501
(OPRF 0.017 Gen_idx 0.000 Query_idx 2.483 Get_key 0.001 Dec 0.000)","2.774
(OPRF 0.017 Gen_idx 0.010 Query_idx 2.731 Get_key 0.014 Dec 0.003)","2.853
(OPRF 0.018 Gen_idx 0.021 Query_idx 2.757 Get_key 0.052 Dec 0.006)","3.116
(OPRF 0.015 Gen_idx 0.043 Query_idx 2.842 Get_key 0.205 Dec 0.011)","3.949
(OPRF 0.015 Gen_idx 0.092 Query_idx 2.999 Get_key 0.826 Dec 0.018)","7.129
(OPRF 0.022 Gen_idx 0.182 Query_idx 3.633 Get_key 3.257 Dec 0.036)","16.441
(OPRF 0.029 Gen_idx 0.360 Query_idx 2.798 Get_key 13.187 Dec 0.068)","59.679
(OPRF 0.040 Gen_idx 0.707 Query_idx 5.457 Get_key 53.341 Dec 0.134)

Payable PSI 25.12

Payable KPIR 9175.04"
"2^20
(1048576)
N=8192","34.327
(OPRF 0.017 Gen_idx 0.000 Query_idx 34.305 Get_key 0.003 Dec 0.002)","35.063
(OPRF 0.016 Gen_idx 0.011 Query_idx 34.939 Get_key 0.014 Dec 0.084)","35.801
(OPRF 0.017 Gen_idx 0.023 Query_idx 35.553 Get_key 0.053 Dec 0.157)","36.321
(OPRF 0.022 Gen_idx 0.050 Query_idx 35.684 Get_key 0.222 Dec 0.343)","37.889
(OPRF 0.042 Gen_idx 0.090 Query_idx 36.310 Get_key 0.824 Dec 0.624)","34.353
(OPRF 0.019 Gen_idx 0.188 Query_idx 29.521 Get_key 3.377 Dec 1.248)","48.796
(OPRF 0.029 Gen_idx 0.369 Query_idx 32.332 Get_key 13.588 Dec 2.479)","85.707
(OPRF 0.040 Gen_idx 0.720 Query_idx 25.973 Get_key 54.303 Dec 4.672)"
"2^24
(16777216)",,,,,,,,
