Sender_Size,Receiver_Size,Intersection_Size,Intersection_Percentage,Label_Size,Item_Size,PIR_Mode,Status,Total_Online(s),Total_Offline(s),Communication(MB)
1048576,4096,1,0.02%,32,8,0,SUCCESS,25.957,433.363,35.395
1048576,4096,410,10.00%,32,8,0,SUCCESS,31.575,433.128,163.235
1048576,4096,820,20.01%,32,8,0,SUCCESS,38.108,429.230,291.388
1048576,4096,1229,30.00%,32,8,0,SUCCESS,43.578,431.585,419.221
1048576,4096,1639,40.01%,32,8,0,SUCCESS,49.816,428.932,547.061
1048576,4096,2048,50.00%,32,8,0,SUCCESS,55.515,428.798,675.213
1048576,4096,2458,60.00%,32,8,0,SUCCESS,61.401,429.067,803.364
1048576,4096,2868,70.01%,32,8,0,SUCCESS,67.007,446.378,931.513
1048576,4096,3277,80.00%,32,8,0,SUCCESS,72.479,429.589,1058.726
1048576,4096,3687,90.01%,32,8,0,SUCCESS,78.663,428.809,1186.565
1048576,4096,4096,100.00%,32,8,0,SUCCESS,88.167,425.872,1315.337
